Project_name,URL,stars,Commit Count
edenhill/librdkafka,https://github.com/edenhill/librdkafka,6338,4316
xiph/flac,https://github.com/xiph/flac,1029,4370
kitao/pyxel,https://github.com/kitao/pyxel,11014,4372
jstrieb/github-stats,https://github.com/jstrieb/github-stats,1930,4400
aws/s2n-tls,https://github.com/aws/s2n-tls,4219,4437
neutrinolabs/xrdp,https://github.com/neutrinolabs/xrdp,4188,4444
SFTtech/openage,https://github.com/SFTtech/openage,11386,4452
localstack/localstack,https://github.com/localstack/localstack,45035,4511
pi-hole/FTL,https://github.com/pi-hole/FTL,1122,4527
namhyung/uftrace,https://github.com/namhyung/uftrace,2254,4535
searx/searx,https://github.com/searx/searx,12277,4582
kivymd/KivyMD,https://github.com/kivymd/KivyMD,1721,4585
tornadoweb/tornado,https://github.com/tornadoweb/tornado,20884,4602
warmcat/libwebsockets,https://github.com/warmcat/libwebsockets,3713,4605
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,10550,4629
glfw/glfw,https://github.com/glfw/glfw,9895,4635
cesanta/mongoose-os,https://github.com/cesanta/mongoose-os,2330,4740
thonny/thonny,https://github.com/thonny/thonny,2097,4828
libevent/libevent,https://github.com/libevent/libevent,9355,4846
evhub/coconut,https://github.com/evhub/coconut,3621,4857
Rapptz/discord.py,https://github.com/Rapptz/discord.py,11853,4859
ivmai/bdwgc,https://github.com/ivmai/bdwgc,2176,4897
capstone-engine/capstone,https://github.com/capstone-engine/capstone,6019,4917
MycroftAI/mycroft-core,https://github.com/MycroftAI/mycroft-core,6061,4921
qtile/qtile,https://github.com/qtile/qtile,3738,4955
zeromq/czmq,https://github.com/zeromq/czmq,1033,4981
nicolargo/glances,https://github.com/nicolargo/glances,21859,5074
pallets/flask,https://github.com/pallets/flask,61243,5096
boto/boto3,https://github.com/boto/boto3,7747,5215
explosion/thinc,https://github.com/explosion/thinc,2626,5238
mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,3728,5294
cjdelisle/cjdns,https://github.com/cjdelisle/cjdns,4939,5364
pocoproject/poco,https://github.com/pocoproject/poco,6532,5422
civetweb/civetweb,https://github.com/civetweb/civetweb,2239,5539
streamlit/streamlit,https://github.com/streamlit/streamlit,21673,5564
skulpt/skulpt,https://github.com/skulpt/skulpt,3195,5569
samschott/maestral,https://github.com/samschott/maestral,2558,5641
ManimCommunity/manim,https://github.com/ManimCommunity/manim,12151,5728
3b1b/manim,https://github.com/3b1b/manim,48492,5774
klange/toaruos,https://github.com/klange/toaruos,5309,5797
fail2ban/fail2ban,https://github.com/fail2ban/fail2ban,7689,5798
gevent/gevent,https://github.com/gevent/gevent,5851,5834
lxml/lxml,https://github.com/lxml/lxml,2237,5922
giampaolo/psutil,https://github.com/giampaolo/psutil,8903,5941
plotly/plotly.py,https://github.com/plotly/plotly.py,12550,6014
owntone/owntone-server,https://github.com/owntone/owntone-server,1534,6048
acassen/keepalived,https://github.com/acassen/keepalived,3284,6081
zrythm/zrythm,https://github.com/zrythm/zrythm,1365,6104
mltframework/mlt,https://github.com/mltframework/mlt,1166,6105
quantopian/zipline,https://github.com/quantopian/zipline,15615,6226
beeware/toga,https://github.com/beeware/toga,3301,6455
raysan5/raylib,https://github.com/raysan5/raylib,11157,6508
vnpy/vnpy,https://github.com/vnpy/vnpy,19581,6555
citusdata/citus,https://github.com/citusdata/citus,7612,6593
saulpw/visidata,https://github.com/saulpw/visidata,6164,6639
Textualize/textual,https://github.com/Textualize/textual,16302,6650
wger-project/wger,https://github.com/wger-project/wger,1974,6686
PySimpleGUI/PySimpleGUI,https://github.com/PySimpleGUI/PySimpleGUI,10901,6788
plotly/dash,https://github.com/plotly/dash,17740,6853
pypi/warehouse,https://github.com/pypi/warehouse,3088,6992
shuup/shuup,https://github.com/shuup/shuup,1950,7104
crownengine/crown,https://github.com/crownengine/crown,1706,7119
vispy/vispy,https://github.com/vispy/vispy,2976,7227
profanity-im/profanity,https://github.com/profanity-im/profanity,1128,7238
networkx/networkx,https://github.com/networkx/networkx,11908,7313
getredash/redash,https://github.com/getredash/redash,22258,7317
searxng/searxng,https://github.com/searxng/searxng,3654,7321
pret/pokeemerald,https://github.com/pret/pokeemerald,1353,7525
brython-dev/brython,https://github.com/brython-dev/brython,5883,7851
oilshell/oil,https://github.com/oilshell/oil,2407,7905
borgbackup/borg,https://github.com/borgbackup/borg,8846,7958
HVML/PurC,https://github.com/HVML/PurC,1050,7970
git-cola/git-cola,https://github.com/git-cola/git-cola,1955,8014
libvips/libvips,https://github.com/libvips/libvips,7417,8275
keras-team/keras,https://github.com/keras-team/keras,56772,8279
pypa/pipenv,https://github.com/pypa/pipenv,23487,8355
dankamongmen/notcurses,https://github.com/dankamongmen/notcurses,2491,8389
mopidy/mopidy,https://github.com/mopidy/mopidy,7552,8409
microsoft/recommenders,https://github.com/microsoft/recommenders,14622,8438
stellar/stellar-core,https://github.com/stellar/stellar-core,3019,8587
encode/django-rest-framework,https://github.com/encode/django-rest-framework,24585,8697
lvgl/lvgl,https://github.com/lvgl/lvgl,10827,8725
lutris/lutris,https://github.com/lutris/lutris,5976,8728
OctoPrint/OctoPrint,https://github.com/OctoPrint/OctoPrint,7045,8805
iterative/dvc,https://github.com/iterative/dvc,10734,8815
fwupd/fwupd,https://github.com/fwupd/fwupd,1940,8844
evennia/evennia,https://github.com/evennia/evennia,1527,8957
pygame/pygame,https://github.com/pygame/pygame,5498,8974
aio-libs/aiohttp,https://github.com/aio-libs/aiohttp,13074,9034
lbryio/lbry-sdk,https://github.com/lbryio/lbry-sdk,7160,9228
open62541/open62541,https://github.com/open62541/open62541,1967,9286
hashcat/hashcat,https://github.com/hashcat/hashcat,16171,9309
Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,20838,9354
pymc-devs/pymc,https://github.com/pymc-devs/pymc,7172,9555
metabrainz/picard,https://github.com/metabrainz/picard,2996,9637
angband/angband,https://github.com/angband/angband,1108,9798
fluent/fluent-bit,https://github.com/fluent/fluent-bit,4150,9818
scrapy/scrapy,https://github.com/scrapy/scrapy,45281,9837
sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap,25436,10078
mitmproxy/mitmproxy,https://github.com/mitmproxy/mitmproxy,29460,10332
universal-ctags/ctags,https://github.com/universal-ctags/ctags,5277,10350
golemfactory/clay,https://github.com/golemfactory/clay,2941,10453
cc65/cc65,https://github.com/cc65/cc65,1815,10612
certbot/certbot,https://github.com/certbot/certbot,29467,10793
igraph/igraph,https://github.com/igraph/igraph,1458,10869
Chia-Network/chia-blockchain,https://github.com/Chia-Network/chia-blockchain,10951,10962
Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,7810,10987
Cisco-Talos/clamav,https://github.com/Cisco-Talos/clamav,2413,11021
tvheadend/tvheadend,https://github.com/tvheadend/tvheadend,2270,11057
beetbox/beets,https://github.com/beetbox/beets,11289,11144
python/mypy,https://github.com/python/mypy,14271,11278
winsiderss/systeminformer,https://github.com/winsiderss/systeminformer,8241,11332
netbox-community/netbox,https://github.com/netbox-community/netbox,11582,11413
lxc/lxc,https://github.com/lxc/lxc,3892,11573
collectd/collectd,https://github.com/collectd/collectd,2801,11791
weechat/weechat,https://github.com/weechat/weechat,2577,11844
liballeg/allegro5,https://github.com/liballeg/allegro5,1504,11893
iPlug2/iPlug2,https://github.com/iPlug2/iPlug2,1413,11988
contiki-os/contiki,https://github.com/contiki-os/contiki,3514,12329
luke-jr/bfgminer,https://github.com/luke-jr/bfgminer,1673,12717
kivy/kivy,https://github.com/kivy/kivy,15259,12795
vifm/vifm,https://github.com/vifm/vifm,2223,12803
obsproject/obs-studio,https://github.com/obsproject/obs-studio,43309,12954
huggingface/transformers,https://github.com/huggingface/transformers,75397,13235
nfs-ganesha/nfs-ganesha,https://github.com/nfs-ganesha/nfs-ganesha,1176,13253
pypa/pip,https://github.com/pypa/pip,8389,13847
robotframework/robotframework,https://github.com/robotframework/robotframework,7602,14111
unifyai/ivy,https://github.com/unifyai/ivy,7773,14229
nltk/nltk,https://github.com/nltk/nltk,11280,14445
sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,9190,14481
dagster-io/dagster,https://github.com/dagster-io/dagster,5967,14767
python-pillow/Pillow,https://github.com/python-pillow/Pillow,10345,14937
statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,7963,15069
libgit2/libgit2,https://github.com/libgit2/libgit2,8790,15090
rsyslog/rsyslog,https://github.com/rsyslog/rsyslog,1698,15327
NetHack/NetHack,https://github.com/NetHack/NetHack,2185,15366
syslog-ng/syslog-ng,https://github.com/syslog-ng/syslog-ng,1739,15452
linux-test-project/ltp,https://github.com/linux-test-project/ltp,1899,15910
explosion/spaCy,https://github.com/explosion/spaCy,24705,15935
optuna/optuna,https://github.com/optuna/optuna,7254,16027
neomutt/neomutt,https://github.com/neomutt/neomutt,2645,16144
django-cms/django-cms,https://github.com/django-cms/django-cms,9031,16197
sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,6400,16377
openwall/john,https://github.com/openwall/john,7056,16424
spesmilo/electrum,https://github.com/spesmilo/electrum,6040,16469
google/jax,https://github.com/google/jax,21068,16510
cleanflight/cleanflight,https://github.com/cleanflight/cleanflight,2458,16589
gluster/glusterfs,https://github.com/gluster/glusterfs,3886,16777
hypothesis/h,https://github.com/hypothesis/h,2553,16912
mdn/kuma,https://github.com/mdn/kuma,1944,17045
FreeRDP/FreeRDP,https://github.com/FreeRDP/FreeRDP,7624,17335
mne-tools/mne-python,https://github.com/mne-tools/mne-python,2078,17439
cython/cython,https://github.com/cython/cython,7494,17711
csound/csound,https://github.com/csound/csound,1030,17764
ray-project/ray,https://github.com/ray-project/ray,22937,17842
varnishcache/varnish-cache,https://github.com/varnishcache/varnish-cache,3104,18190
readthedocs/readthedocs.org,https://github.com/readthedocs/readthedocs.org,7336,19874
apache/airflow,https://github.com/apache/airflow,28350,20098
cockpit-project/cockpit,https://github.com/cockpit-project/cockpit,7551,20114
bokeh/bokeh,https://github.com/bokeh/bokeh,16960,20145
rspamd/rspamd,https://github.com/rspamd/rspamd,1691,20350
saleor/saleor,https://github.com/saleor/saleor,17570,20476
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,35839,21800
ckan/ckan,https://github.com/ckan/ckan,3613,24854
